sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
1,442;181;;180rounds;No;No;1;0,00000;0,00000;1,25505;1,34619;0,00000;Ngent@0;Ngent@1;Ngent@2;0.0;0.0;0.0;0.0;0.0;0.0;party4_utility.xml;party3_utility.xml;party2_utility.xml
213,285;150;;180rounds;Yes;No;3;0,66876;0,89286;0,00000;0,21028;2,31307;ParsAgent2@3;Ngent@4;Ngent@5;0.89285635;0.7514519900742164;0.6687591642433374;0.89285635;0.7514519900742164;0.6687591642433374;party4_utility.xml;party3_utility.xml;party2_utility.xml
0,707;120;;180rounds;Yes;No;3;0,60430;0,86690;0,03781;0,16596;2,23311;ParsCat@18;Ngent@19;Ngent@20;0.761904075;0.8669047212118565;0.6042964506357491;0.761904075;0.8669047212118565;0.6042964506357491;party4_utility.xml;party3_utility.xml;party2_utility.xml
9,385;181;;180rounds;No;No;1;0,00000;0,00000;1,25505;1,34619;0,00000;Ngent@21;ParsAgent2@22;Ngent@23;0.0;0.0;0.0;0.0;0.0;0.0;party4_utility.xml;party3_utility.xml;party2_utility.xml
196,859;153;;180rounds;Yes;No;3;0,70238;0,79353;0,04967;0,07734;2,20071;ParsAgent2@24;ParsAgent2@25;Ngent@26;0.7023803500000001;0.793532840191558;0.7047964061501943;0.7023803500000001;0.793532840191558;0.7047964061501943;party4_utility.xml;party3_utility.xml;party2_utility.xml
8,602;142;;180rounds;Yes;No;3;0,66452;0,91032;0,00000;0,12525;2,32484;ParsCat@39;ParsAgent2@40;Ngent@41;0.7499993;0.9103208951175262;0.6645211426556008;0.7499993;0.9103208951175262;0.6645211426556008;party4_utility.xml;party3_utility.xml;party2_utility.xml
0,869;181;;180rounds;No;No;1;0,00000;0,00000;1,25505;1,34619;0,00000;Ngent@42;ParsCat@43;Ngent@44;0.0;0.0;0.0;0.0;0.0;0.0;party4_utility.xml;party3_utility.xml;party2_utility.xml
180,633;145;;180rounds;Yes;No;3;0,58575;0,79762;0,04256;0,19773;2,17275;ParsAgent2@45;ParsCat@46;Ngent@47;0.79761835;0.7893794117782126;0.5857497266994929;0.79761835;0.7893794117782126;0.5857497266994929;party4_utility.xml;party3_utility.xml;party2_utility.xml
0,506;144;;180rounds;Yes;No;3;0,60505;0,75136;0,09084;0,18098;2,09450;ParsCat@57;ParsCat@58;Ngent@59;0.738094575;0.7513569571087145;0.6050508074274124;0.738094575;0.7513569571087145;0.6050508074274124;party4_utility.xml;party3_utility.xml;party2_utility.xml
5,805;181;;180rounds;No;No;1;0,00000;0,00000;1,25505;1,34619;0,00000;Ngent@60;Ngent@61;ParsAgent2@62;0.0;0.0;0.0;0.0;0.0;0.0;party4_utility.xml;party3_utility.xml;party2_utility.xml
193,194;158;;180rounds;Yes;No;3;0,65618;0,92412;0,00000;0,15028;2,24697;ParsAgent2@63;Ngent@64;ParsAgent2@65;0.6666660500000001;0.9241237645030826;0.6561836413787563;0.6666660500000001;0.9241237645030826;0.6561836413787563;party4_utility.xml;party3_utility.xml;party2_utility.xml
5,210;172;;180rounds;Yes;No;3;0,64286;0,92857;0,00000;0,22027;2,28908;ParsCat@78;Ngent@79;ParsAgent2@80;0.6428566;0.7176566046946408;0.9285654723948509;0.6428566;0.7176566046946408;0.9285654723948509;party4_utility.xml;party3_utility.xml;party2_utility.xml
12,831;181;;180rounds;No;No;1;0,00000;0,00000;1,25505;1,34619;0,00000;Ngent@81;ParsAgent2@82;ParsAgent2@83;0.0;0.0;0.0;0.0;0.0;0.0;party4_utility.xml;party3_utility.xml;party2_utility.xml
204,547;151;;180rounds;Yes;No;3;0,74083;0,79762;0,00000;0,09663;2,31515;ParsAgent2@84;ParsAgent2@85;ParsAgent2@86;0.79761835;0.7767005001446213;0.7408336480570514;0.79761835;0.7767005001446213;0.7408336480570514;party4_utility.xml;party3_utility.xml;party2_utility.xml
12,395;174;;180rounds;Yes;No;3;0,59524;0,85225;0,00000;0,15867;2,29877;ParsCat@99;ParsAgent2@100;ParsAgent2@101;0.59523755;0.8512769996675457;0.8522529669934003;0.59523755;0.8512769996675457;0.8522529669934003;party4_utility.xml;party3_utility.xml;party2_utility.xml
4,989;181;;180rounds;No;No;1;0,00000;0,00000;1,25505;1,34619;0,00000;Ngent@102;ParsCat@103;ParsAgent2@104;0.0;0.0;0.0;0.0;0.0;0.0;party4_utility.xml;party3_utility.xml;party2_utility.xml
