sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
54,003;29265;;60s;Yes;No;3;0,22959;0,83834;0,19370;0,75986;1,58043;RandomParty@0;RandomParty2@1;Group1@2;0.5125;0.22959050385209348;0.8383394380655085;0.5125;0.22959050385209348;0.8383394380655085;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;28402;;60s;Yes;No;3;0,34041;0,81366;0,20863;0,67642;1,61907;RandomParty2@3;RandomParty@4;Group1@5;0.4649999999999999;0.34040566340591605;0.8136614242360223;0.4649999999999999;0.34040566340591605;0.8136614242360223;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;29835;;60s;Yes;No;3;0,46626;0,79250;0,11666;0,46765;1,90636;Group1@6;RandomParty@7;RandomParty2@8;0.7925;0.4662566119129398;0.6476036087970191;0.7925;0.4662566119129398;0.6476036087970191;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;30187;;60s;Yes;No;3;0,56500;0,76890;0,14860;0,27496;2,01020;RandomParty@9;Group1@10;RandomParty2@11;0.565;0.7688961631088822;0.6763022983398773;0.565;0.7688961631088822;0.6763022983398773;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;30623;;60s;Yes;No;3;0,66167;0,83778;0,02371;0,16499;2,27850;RandomParty2@12;Group1@13;RandomParty@14;0.6616666666666666;0.8377841646680184;0.7790472912285215;0.6616666666666666;0.8377841646680184;0.7790472912285215;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;29934;;60s;Yes;No;3;0,28736;0,87667;0,09156;0,64833;1,90967;Group1@15;RandomParty2@16;RandomParty@17;0.8766666666666666;0.2873611813536651;0.7456384250374812;0.8766666666666666;0.2873611813536651;0.7456384250374812;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;32798;;60s;Yes;No;3;0,37667;0,86516;0,17493;0,66806;1,66264;RandomParty@18;RandomParty2@19;Group1@20;0.3766666666666666;0.420815632148064;0.8651606143096279;0.3766666666666666;0.420815632148064;0.8651606143096279;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,001;34272;;60s;Yes;No;3;0,39436;0,85768;0,14219;0,62729;1,73954;RandomParty2@21;RandomParty@22;Group1@23;0.48749999999999993;0.39435788940464533;0.8576783435848215;0.48749999999999993;0.39435788940464533;0.8576783435848215;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;37850;;60s;Yes;No;3;0,59723;0,77083;0,09138;0,33545;2,03531;Group1@24;RandomParty@25;RandomParty2@26;0.7708333333333333;0.5972298251788759;0.6672456191167062;0.7708333333333333;0.5972298251788759;0.6672456191167062;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,044;36772;;60s;Yes;No;3;0,51583;0,82913;0,08964;0,28971;2,10251;RandomParty@27;Group1@28;RandomParty2@29;0.5158333333333334;0.8291254478023382;0.7575522089692894;0.5158333333333334;0.8291254478023382;0.7575522089692894;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,001;35316;;60s;Yes;No;3;0,57571;0,73917;0,13643;0,26496;2,02445;RandomParty2@30;Group1@31;RandomParty@32;0.7391666666666666;0.7095795724871835;0.575706074261143;0.7391666666666666;0.7095795724871835;0.575706074261143;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;30070;;60s;Yes;No;3;0,61866;0,79750;0,07229;0,25026;2,11521;Group1@33;RandomParty2@34;RandomParty@35;0.7975000000000001;0.6990583736750462;0.6186555333289526;0.7975000000000001;0.6990583736750462;0.6186555333289526;party1_utility.xml;party2_utility.xml;party3_utility.xml
